purchaseId,agreementId,supplierId,country,stockId,orderDate,qty,unitValue,weightPerUnit,currency
PUR-0001-0,AGR-001,SUP-LUMIERE,SK,EDT-075,2026-01-18,1137,21.69,0.35,EUR
PUR-0001-1,AGR-001,SUP-LUMIERE,SK,LIP-004,2026-01-18,1137,21.69,0.03,EUR
PUR-0001-2,AGR-001,SUP-LUMIERE,SK,EDP-050,2026-01-18,1137,21.69,0.28,EUR
PUR-0001-3,AGR-001,SUP-LUMIERE,SK,MSC-200,2026-01-18,1135,21.69,0.55,EUR
PUR-0002-0,AGR-001,SUP-LUMIERE,PL,EDT-075,2026-01-18,1224,22.77,0.35,EUR
PUR-0002-1,AGR-001,SUP-LUMIERE,PL,LIP-004,2026-01-18,1224,22.77,0.03,EUR
PUR-0002-2,AGR-001,SUP-LUMIERE,PL,EDP-050,2026-01-18,1224,22.77,0.28,EUR
PUR-0002-3,AGR-001,SUP-LUMIERE,PL,MSC-200,2026-01-18,1223,22.77,0.55,EUR
PUR-0003-0,AGR-001,SUP-LUMIERE,CZ,EDT-075,2026-01-10,1166,27,0.35,EUR
PUR-0003-1,AGR-001,SUP-LUMIERE,CZ,LIP-004,2026-01-10,1166,27,0.03,EUR
PUR-0003-2,AGR-001,SUP-LUMIERE,CZ,EDP-050,2026-01-10,1166,27,0.28,EUR
PUR-0003-3,AGR-001,SUP-LUMIERE,CZ,MSC-200,2026-01-10,1164,27,0.55,EUR
