invoice_number,stock_id,storage_id,qty_received,receipt_datetime,recadv_ref
INV-2026-09,SKU-1006,WH-CENTRAL,315,2026-04-14T09:00:00,RECADV-INV-2026-09-0
INV-2026-09,SKU-1006,WH-BA,315,2026-04-14T09:00:00,RECADV-INV-2026-09-1
INV-2026-09,SKU-1006,WH-KE,315,2026-04-15T09:00:00,RECADV-INV-2026-09-2
INV-2026-09,SKU-1006,WH-ZA,315,2026-04-10T09:00:00,RECADV-INV-2026-09-3
INV-2026-09,SKU-1004,WH-CENTRAL,578,2026-04-13T09:00:00,RECADV-INV-2026-09-0
INV-2026-09,SKU-1004,WH-BA,578,2026-04-26T09:00:00,RECADV-INV-2026-09-1
INV-2026-09,SKU-1004,WH-KE,577,2026-04-19T09:00:00,RECADV-INV-2026-09-2
INV-2026-09,SKU-1004,WH-ZA,577,2026-04-26T09:00:00,RECADV-INV-2026-09-3
INV-2026-09,SKU-1002,WH-CENTRAL,158,2026-04-12T09:00:00,RECADV-INV-2026-09-0
INV-2026-09,SKU-1002,WH-BA,158,2026-04-12T09:00:00,RECADV-INV-2026-09-1
INV-2026-09,SKU-1002,WH-KE,157,2026-04-19T09:00:00,RECADV-INV-2026-09-2
INV-2026-09,SKU-1002,WH-ZA,157,2026-04-14T09:00:00,RECADV-INV-2026-09-3
