invoice_number,stock_id,storage_id,qty_received,qty_disputed,receipt_datetime,recadv_ref
INV-2026-15,SKU-1001,WH-KE,1393,0,2026-05-27T09:00:00,RECADV-INV-2026-15-0
INV-2026-15,SKU-1001,WH-ZA,663,0,2026-05-26T09:00:00,RECADV-INV-2026-15-1
INV-2026-15,SKU-1001,WH-BA,905,0,2026-05-28T09:00:00,RECADV-INV-2026-15-2
INV-2026-15,SKU-1001,WH-PO,939,0,2026-05-22T09:00:00,RECADV-INV-2026-15-3
INV-2026-15,SKU-1004,WH-KE,509,0,2026-05-26T09:00:00,RECADV-INV-2026-15-0
INV-2026-15,SKU-1004,WH-ZA,458,0,2026-05-29T09:00:00,RECADV-INV-2026-15-1
INV-2026-15,SKU-1004,WH-BA,291,0,2026-05-25T09:00:00,RECADV-INV-2026-15-2
INV-2026-15,SKU-1004,WH-PO,242,0,2026-05-26T09:00:00,RECADV-INV-2026-15-3
INV-2026-15,SKU-1002,WH-KE,619,0,2026-05-24T09:00:00,RECADV-INV-2026-15-0
INV-2026-15,SKU-1002,WH-ZA,822,0,2026-05-25T09:00:00,RECADV-INV-2026-15-1
INV-2026-15,SKU-1002,WH-BA,440,0,2026-05-23T09:00:00,RECADV-INV-2026-15-2
INV-2026-15,SKU-1002,WH-PO,1119,0,2026-05-26T09:00:00,RECADV-INV-2026-15-3
